seq,type,timestamp,loadId,originLatitude,originLongitude,destinationLatitude,destinationLongitude,equipmentType,price,mileage
1,Load,2023-11-18T03:12:52,10256,41.2112,-80.5379,40.1018,-76.0852,Van,600.0,301.0
2,Load,2023-11-18T03:22:36,10034,42.5455,-71.1754,42.106,-72.5781,Van,325.0,96.0
3,Load,2023-11-18T03:22:36,10182,39.74,-75.31,37.92,-77.45,Reefer,850.0,209.0
4,Load,2023-11-18T03:23:55,10132,44.7697,-85.6344,41.9573,-83.6597,Van,715.5,265.0
5,Load,2023-11-18T04:04:31,10736,41.1274,-84.8499,33.4482,-84.1468,Reefer,1625.0,697.0
6,Load,2023-11-18T06:02:38,10951,36.7082,-76.2281,38.8467,-91.948,Van,1500.0,1023.0
7,Load,2023-11-18T06:05:37,10609,40.812,-74.1243,41.9584,-70.6673,Van,805.0,221.0
8,Load,2023-11-18T06:05:49,10517,40.2,-77.18,33.39,-84.59,Van,1000.0,727.0
9,Load,2023-11-18T06:35:56,10635,38.7626,-80.6373,35.7339,-79.6523,Flatbed,900.0,298.0
10,Load,2023-11-18T06:35:56,10262,38.75,-85.8,39.0,-78.16,Van,1300.0,552.0
11,Load,2023-11-18T06:36:01,10651,40.5038,-79.8395,42.1167,-80.0826,Reefer,500.0,133.0
12,Load,2023-11-18T06:38:59,11010,38.91,-84.61,33.4,-84.12,Reefer,1450.0,480.0
13,Load,2023-11-18T06:39:34,10426,38.9259,-79.8467,40.5009,-75.9699,Flatbed,900.0,293.0
14,Load,2023-11-18T07:23:03,10007,40.8009,-85.8193,33.7448,-85.2899,Van,1400.0,627.0
18,Load,2023-11-18T08:22:38,10509,40.5779,-74.3968,42.9981,-78.1875,Reefer,750.0,316.0
28,Load,2023-11-18T08:41:19,10161,42.3052,-71.5236,39.1492,-76.7762,Reefer,850.0,393.0
38,Load,2023-11-18T08:44:40,10583,44.7963,-71.8556,42.4119,-71.1765,Flatbed,611.0,204.0
41,Load,2023-11-18T08:50:00,40020,46.1012,-123.2068,37.5297,-122.0402,Flatbed,2000.0,715.0
51,Load,2023-11-18T08:55:55,10263,40.2842,-84.1555,42.3104,-83.4476,Van,474.0,164.0
52,Load,2023-11-18T08:56:09,10781,38.0489,-84.4998,41.9573,-83.6597,Van,700.0,307.0
53,Load,2023-11-18T08:56:33,10693,43.1437,-76.1275,28.5846,-80.664,Flatbed,2800.0,1224.0
54,Load,2023-11-18T08:56:33,10064,41.6702,-86.2512,42.7256,-77.8742,Flatbed,1700.0,502.0
55,Load,2023-11-18T08:56:34,10795,42.609,-82.8737,40.3989,-81.3481,Van,700.0,238.0
67,Load,2023-11-18T09:07:26,10809,41.5211,-83.8057,35.1411,-90.045,Van,1300.0,658.0
68,Load,2023-11-18T09:07:57,10876,40.8541,-74.8291,37.0774,-94.509,Van,1800.0,1217.0
73,Load,2023-11-18T09:11:48,10235,39.6019,-82.9326,40.8899,-80.6979,Van,483.6,183.0
74,Load,2023-11-18T09:11:51,11017,40.206,-75.0998,27.5077,-99.5029,Flatbed,1500.0,1913.0
80,Load,2023-11-18T09:13:58,10811,41.3083,-81.8243,40.0187,-78.5039,Flatbed,800.0,232.0
81,Load,2023-11-18T09:14:19,11035,37.5701,-85.252,39.8521,-82.8846,Van,675.0,241.0
82,Load,2023-11-18T09:14:34,10502,40.8514,-74.7333,43.5448,-96.7311,Van,1700.0,1329.0
83,Load,2023-11-18T09:14:49,10268,41.38,-83.6,41.51,-88.0,Van,501.0,253.0
85,Load,2023-11-18T09:17:29,10204,39.87,-75.44,35.01,-81.8,Van,900.0,589.0
90,Load,2023-11-18T09:20:00,10944,39.526,-87.1258,37.5389,-87.2583,Van,500.0,178.0
91,Load,2023-11-18T09:20:31,10146,43.056,-83.3279,40.5554,-75.66,Van,1750.0,591.0
98,Load,2023-11-18T09:22:41,10374,39.785,-85.7694,37.9426,-121.2681,Reefer,3300.08,2257.0
99,Load,2023-11-18T09:22:42,11032,43.3128,-73.6488,35.3853,-94.4173,Van,2200.0,1463.0
100,Load,2023-11-18T09:22:44,10272,44.9524,-69.8598,43.0639,-85.9348,Flatbed,1680.0,931.0
108,Load,2023-11-18T09:24:51,10457,42.4421,-73.2592,41.8961,-71.4145,Van,380.0,126.0
119,Load,2023-11-18T09:30:15,10131,42.8599,-78.8188,38.6533,-94.3488,Reefer,1700.0,967.0
122,Load,2023-11-18T09:31:22,10257,41.5387,-75.9466,44.8046,-68.7746,Van,1118.61,531.0
123,Load,2023-11-18T09:31:50,10734,42.85,-78.81,29.18,-82.17,Van,2600.0,1150.0
126,Load,2023-11-18T09:31:54,10275,39.6001,-75.9413,37.228,-77.4008,Reefer,850.0,212.0
127,Load,2023-11-18T09:31:56,10358,42.8983,-78.6619,41.9573,-83.6597,Van,712.8,328.0
128,Load,2023-11-18T09:31:58,10972,40.6878,-84.6466,40.2795,-86.5108,Van,500.0,133.0
130,Load,2023-11-18T09:31:59,40006,25.7812,-80.1911,27.9613,-82.4493,Reefer,600.0,265.0
131,Load,2023-11-18T09:31:59,10468,43.7826,-74.2718,29.6911,-95.2091,Van,2012.0,1783.0
132,Load,2023-11-18T09:32:00,10751,39.3302,-84.4039,41.2931,-84.7619,Van,400.0,172.0
134,Load,2023-11-18T09:32:22,11055,39.33,-84.49,32.87,-96.67,Flatbed,2150.0,942.0
138,Load,2023-11-18T09:33:33,11025,39.8685,-75.0952,32.7379,-96.2761,Reefer,2300.0,1452.0
139,Load,2023-11-18T09:33:33,10135,40.4823,-78.5517,37.1464,-92.7688,Flatbed,1850.0,908.0
145,Load,2023-11-18T09:38:20,10528,39.76,-86.15,47.2,-122.24,Van,4200.0,2247.0
146,Load,2023-11-18T09:38:46,10086,42.4407,-76.4968,42.0889,-83.2885,Van,700.0,426.0
150,Load,2023-11-18T09:40:31,10019,40.6034,-78.3247,35.6266,-81.9917,Van,900.0,499.0
156,Load,2023-11-18T09:42:54,10927,40.48,-78.4,32.15,-81.21,Van,1300.0,736.0
157,Load,2023-11-18T09:42:59,10295,40.7135,-74.1742,33.6583,-84.3846,Reefer,1640.0,878.0
164,Load,2023-11-18T09:45:28,10685,39.8089,-82.9718,33.3997,-86.9558,Van,1100.0,580.0
166,Load,2023-11-18T09:46:34,10388,40.9634,-76.6127,44.0997,-70.2269,Flatbed,1800.0,491.0
167,Load,2023-11-18T09:46:36,10417,40.7963,-81.5229,35.2274,-80.8434,Van,1000.0,454.0
171,Load,2023-11-18T09:48:46,10503,41.0815,-81.5192,42.2948,-85.5911,Reefer,700.0,280.0
185,Load,2023-11-18T09:56:10,10197,40.4167,-86.9,37.3436,-77.0741,Flatbed,1700.0,712.0
186,Load,2023-11-18T09:56:26,10577,39.6528,-78.7609,39.1492,-76.7762,Flatbed,900.0,134.0
188,Load,2023-11-18T09:57:37,10631,41.1898,-83.6787,39.2014,-85.9236,Van,600.0,229.0
189,Load,2023-11-18T09:57:43,10214,39.9536,-75.1684,41.07,-85.0379,Van,1000.0,613.0
190,Load,2023-11-18T09:57:46,10571,42.1149,-83.307,40.4523,-85.373,Van,451.0,191.0
191,Load,2023-11-18T09:58:05,10090,37.81,-85.485,27.5077,-99.5029,Van,1191.0,1249.0
192,Load,2023-11-18T09:58:05,10681,42.5085,-83.0154,36.1595,-86.7907,Van,1050.0,572.0
193,Load,2023-11-18T09:58:06,10261,39.077,-84.1769,35.8217,-84.048,Van,600.0,286.0
196,Load,2023-11-18T09:58:58,10492,40.0553,-86.4797,38.1045,-82.6103,Reefer,900.0,313.0
197,Load,2023-11-18T09:59:26,10881,40.5558,-81.9192,42.7,-83.4073,Van,600.0,212.0
199,Load,2023-11-18T10:00:10,10816,42.2466,-84.4027,32.9234,-96.6273,Van,2000.0,1105.0
200,Load,2023-11-18T10:00:38,10567,38.8857,-76.9045,39.7345,-104.935,Van,2650.0,1665.0
201,Load,2023-11-18T10:03:17,10025,43.649,-72.3193,43.0511,-76.1524,Van,500.0,246.0
202,Load,2023-11-18T10:04:01,10085,41.1192,-78.76,39.9502,-77.6639,Flatbed,450.0,138.0
203,Load,2023-11-18T10:04:02,40005,30.3414,-95.0907,32.757,-97.3286,Flatbed,660.09,256.0
208,Load,2023-11-18T10:06:13,10729,41.7942,-83.4963,37.81,-85.485,Flatbed,1100.0,344.0
210,Load,2023-11-18T10:06:55,10060,41.3519,-83.1183,40.6638,-74.2108,Van,1351.8,523.0
215,Load,2023-11-18T10:08:19,10397,40.17,-80.25,40.09,-74.21,Van,900.0,367.0
216,Load,2023-11-18T10:09:10,10697,43.0865,-86.1893,35.2523,-91.8493,Van,1410.0,731.0
217,Load,2023-11-18T10:10:30,10020,40.8917,-76.7975,35.6179,-82.3212,Van,650.0,574.0
218,Load,2023-11-18T10:10:31,10608,37.3279,-87.4991,42.68,-89.0317,Van,745.0,433.0
219,Load,2023-11-18T10:10:32,10068,39.4569,-77.9652,32.8626,-80.0146,Van,900.0,594.0
220,Load,2023-11-18T10:11:04,10252,39.82,-76.96,41.85,-72.64,Van,1000.0,321.0
223,Load,2023-11-18T10:11:25,11030,37.294,-80.0528,37.6088,-77.3733,Van,450.0,198.0
225,Load,2023-11-18T10:12:39,10144,38.2021,-79.0084,42.8016,-73.9275,Reefer,1600.0,500.0
227,Load,2023-11-18T10:12:45,10032,42.0103,-76.5272,43.749,-87.9824,Reefer,1300.0,816.0
231,Load,2023-11-18T10:13:34,10370,41.0142,-77.6581,32.2371,-80.8604,Flatbed,1000.0,797.0
238,Load,2023-11-18T10:15:50,10065,42.2067,-86.1667,36.7101,-81.9775,Van,1327.0,595.0
240,Load,2023-11-18T10:16:21,10166,37.7742,-87.1133,30.2833,-82.1253,Reefer,1750.0,680.0
241,Load,2023-11-18T10:17:51,10688,39.18,-78.16,38.19,-83.53,Van,550.0,381.0
243,Load,2023-11-18T10:18:18,10171,39.8794,-84.1919,42.7925,-85.6546,Van,600.0,262.0
250,Load,2023-11-18T10:20:07,10705,39.3373,-85.4836,33.3321,-87.012,Van,990.0,470.0
252,Load,2023-11-18T10:21:26,10508,38.0296,-76.5808,35.9129,-79.7175,Flatbed,500.0,268.0
254,Load,2023-11-18T10:22:17,10390,40.33,-75.92,33.03,-83.93,Van,1250.0,830.0
255,Load,2023-11-18T10:22:24,10939,40.59,-75.6,39.02,-84.73,Van,761.0,563.0
259,Load,2023-11-18T10:23:33,10072,36.6944,-77.5389,39.2977,-76.6176,Flatbed,650.0,219.0
263,Load,2023-11-18T10:25:31,10004,42.8016,-73.9275,35.4885,-97.5054,Van,2350.0,1495.0
264,Load,2023-11-18T10:25:33,10808,40.6301,-79.9695,34.2436,-84.4982,Flatbed,1250.0,677.0
265,Load,2023-11-18T10:25:41,10834,39.45,-87.35,35.02,-89.87,Van,800.0,414.0
270,Load,2023-11-18T10:27:22,40002,41.5472,-89.1176,36.1595,-86.7907,Van,1200.0,484.0
275,Load,2023-11-18T10:28:47,10948,43.0511,-76.1524,42.6301,-71.1794,Reefer,1000.0,319.0
278,Load,2023-11-18T10:29:25,11036,40.05,-85.53,29.55,-95.8,Van,2000.0,1097.0
279,Load,2023-11-18T10:30:03,10308,40.1798,-76.1788,33.9719,-87.923,Flatbed,1656.0,918.0
281,Load,2023-11-18T10:30:57,10458,37.1091,-87.8821,33.0063,-97.227,Van,1650.0,690.0
285,Load,2023-11-18T10:32:17,40012,56.7353,-111.3968,41.1573,-85.4883,Flatbed,2726.0,2050.0
286,Load,2023-11-18T10:33:06,10030,42.8177,-78.8194,40.4925,-87.0963,Flatbed,877.5,512.0
289,Load,2023-11-18T10:34:14,10134,41.2266,-77.0222,41.5084,-87.6909,Van,678.4,612.0
293,Load,2023-11-18T10:36:55,10037,39.2977,-76.6176,41.7214,-85.8175,Van,750.0,598.0
296,Load,2023-11-18T10:38:30,10464,40.7236,-73.2797,42.8127,-70.8773,Van,800.0,286.0
298,Load,2023-11-18T10:38:54,10423,38.4489,-78.8692,40.9537,-75.9804,Reefer,875.0,266.0
303,Load,2023-11-18T10:40:13,10769,39.9403,-82.0132,39.5223,-85.7731,Reefer,700.0,218.0
305,Load,2023-11-18T10:40:58,10044,44.1936,-85.2133,38.2543,-85.7593,Flatbed,850.0,486.0
310,Load,2023-11-18T10:42:26,10274,40.2101,-76.8694,37.6314,-77.3561,Flatbed,826.47,216.0
314,Load,2023-11-18T10:42:44,10863,42.6263,-83.0192,42.4721,-83.2828,Van,250.0,31.0
315,Load,2023-11-18T10:42:53,10056,36.5768,-79.8584,40.6865,-80.1016,Flatbed,1100.0,418.0
319,Load,2023-11-18T10:43:53,10113,40.9538,-83.3744,36.8901,-82.2796,Van,750.0,373.0
320,Load,2023-11-18T10:44:39,10319,42.6366,-73.8557,33.0957,-80.3154,Van,1400.0,886.0
324,Load,2023-11-18T10:45:19,10329,41.0199,-84.0506,40.2015,-77.1889,Van,1375.0,447.0
329,Load,2023-11-18T10:47:26,10116,40.2645,-75.8041,37.7586,-77.472,Van,600.0,257.0
333,Load,2023-11-18T10:50:12,10770,40.34,-74.44,29.18,-82.17,Van,2100.0,1009.0
339,Load,2023-11-18T10:51:35,10491,42.91,-77.3,41.85,-72.64,Van,900.0,309.0
340,Load,2023-11-18T10:51:46,10523,42.56,-71.58,38.91,-76.88,Reefer,900.0,430.0
341,Load,2023-11-18T10:51:47,40010,32.69,-96.83,39.28,-94.73,Van,650.0,515.0
342,Load,2023-11-18T10:51:47,10849,42.9682,-71.4509,29.2396,-81.0517,Van,2000.0,1279.0
343,Load,2023-11-18T10:51:50,40019,33.7798,-89.8107,30.5602,-91.954,Flatbed,700.0,337.0
344,Load,2023-11-18T10:51:52,10211,41.4944,-81.6856,37.7586,-77.472,Van,1100.0,450.0
345,Load,2023-11-18T10:51:53,10238,42.464,-73.3965,42.2212,-70.838,Flatbed,800.0,164.0
353,Load,2023-11-18T10:54:17,10717,39.4172,-76.7781,39.017,-84.5987,Reefer,1000.0,512.0
357,Load,2023-11-18T10:54:57,10320,41.9842,-86.3031,25.7812,-80.1911,Reefer,4000.0,1401.0
364,Load,2023-11-18T10:58:19,10760,40.1529,-76.6028,39.7345,-104.935,Reefer,2700.0,1596.0
365,Load,2023-11-18T10:58:21,10062,42.362,-71.0554,38.0239,-97.6698,Flatbed,2200.0,1618.0
366,Load,2023-11-18T10:58:42,10005,39.9626,-76.7278,42.0874,-71.4751,Van,1225.0,385.0
367,Load,2023-11-18T10:59:16,10021,39.914,-85.163,39.9392,-75.119,Van,1329.0,582.0
368,Load,2023-11-18T10:59:23,10102,36.6877,-79.8756,43.3128,-73.6488,Flatbed,1550.0,687.0
370,Load,2023-11-18T11:00:29,10991,41.2009,-80.4978,42.0414,-87.8878,Flatbed,950.0,443.0
371,Load,2023-11-18T11:02:43,40018,30.5782,-98.2728,31.9637,-95.272,Van,522.29,238.0
383,Load,2023-11-18T11:04:51,10027,39.5078,-76.1701,43.6319,-70.2621,Van,1392.7,472.0
387,Load,2023-11-18T11:05:49,10814,41.6395,-87.4707,41.9495,-87.8777,Flatbed,300.0,37.0
391,Load,2023-11-18T11:07:06,10650,40.822,-81.3836,40.5109,-75.603,Van,1000.0,388.0
392,Load,2023-11-18T11:07:34,10820,40.51,-74.3,39.0,-78.16,Van,800.0,270.0
393,Load,2023-11-18T11:07:35,10285,40.2015,-77.1889,35.4428,-84.593,Reefer,1150.0,579.0
399,Load,2023-11-18T11:09:11,10006,39.4585,-87.42,34.0634,-118.2491,Van,3200.0,2047.0
401,Load,2023-11-18T11:09:38,10691,39.12,-76.86,40.91,-74.15,Reefer,900.0,216.0
402,Load,2023-11-18T11:09:39,10067,40.0201,-76.1336,39.5995,-88.6078,Flatbed,1400.0,756.0
406,Load,2023-11-18T11:10:41,10633,41.5963,-87.3032,39.3459,-84.5605,Van,750.0,255.0
410,Load,2023-11-18T11:11:06,10647,38.3307,-80.6532,41.3935,-81.4441,Flatbed,950.0,307.0
411,Load,2023-11-18T11:11:06,10959,40.739,-85.1723,29.5572,-95.8086,Van,2300.0,1145.0
419,Load,2023-11-18T11:14:07,10119,42.3306,-83.0424,38.7462,-85.3804,Flatbed,1000.0,327.0
421,Load,2023-11-18T11:14:08,10251,39.8006,-76.983,32.5175,-92.158,Van,1800.0,1145.0
426,Load,2023-11-18T11:15:46,10350,40.1731,-77.3986,38.139,-78.1882,Van,475.0,173.0
428,Load,2023-11-18T11:15:59,10711,41.237,-80.8199,41.4789,-87.4548,Flatbed,1000.0,374.0
429,Load,2023-11-18T11:16:45,40022,29.9561,-90.0773,33.6821,-84.1488,Flatbed,1000.0,480.0
433,Load,2023-11-18T11:17:36,10355,42.0986,-75.9183,36.0725,-79.7921,Reefer,1000.0,574.0
436,Load,2023-11-18T11:17:53,10487,38.0512,-87.2759,33.6231,-84.3667,Reefer,1500.0,427.0
437,Load,2023-11-18T11:17:53,40023,47.3143,-116.5627,32.2614,-110.9771,Flatbed,3200.0,1528.0
452,Load,2023-11-18T11:20:58,10700,42.3104,-83.4476,36.0567,-86.6472,Flatbed,1500.0,538.0
456,Load,2023-11-18T11:22:14,10121,42.7875,-86.1089,28.5463,-81.3783,Van,2551.0,1162.0
468,Load,2023-11-18T11:24:14,10059,37.2706,-79.9417,40.4848,-78.0103,Flatbed,1050.0,284.0
469,Load,2023-11-18T11:24:26,10003,41.9573,-83.6597,41.6621,-87.7378,Van,500.0,250.0
470,Load,2023-11-18T11:24:27,10473,42.0318,-71.2192,42.4795,-73.769,Van,564.0,166.0
478,Load,2023-11-18T11:28:13,10194,40.4412,-84.9762,42.3489,-83.4671,Van,384.0,189.0
484,Load,2023-11-18T11:29:41,10225,40.6957,-80.0119,40.5679,-84.1963,Van,676.0,262.0
488,Load,2023-11-18T11:31:42,10465,40.7959,-74.3255,40.4405,-79.9961,Van,665.0,353.0
489,Load,2023-11-18T11:31:47,10586,39.3459,-84.5605,35.1595,-84.8766,Reefer,780.78,341.0
495,Load,2023-11-18T11:32:59,10147,38.8701,-84.6134,40.8115,-96.7166,Reefer,1400.0,746.0
496,Load,2023-11-18T11:33:07,10713,39.7446,-75.5462,42.5544,-71.3141,Flatbed,1045.0,340.0
500,Load,2023-11-18T11:35:05,10162,40.2601,-74.2738,38.956,-85.8895,Van,900.0,708.0
501,Load,2023-11-18T11:35:06,11057,42.1033,-86.4817,42.8794,-78.8775,Van,1200.0,479.0
